number,dutch,english,part_of_speech,category,example_dutch,example_english
1,aanstaande,upcoming,adjective,time,"Aanstaande maandag heb ik een afspraak","Next Monday I have an appointment"
2,aanwezig,present,adjective,state,"Iedereen is aanwezig","Everyone is present"
3,aardappels,potatoes,noun,food,"Ik eet aardappels met vlees","I eat potatoes with meat"
4,absoluut,absolutely,adverb,emphasis,"Dit verhaal is absoluut waar gebeurd","This story ... happened for real"
5,accepteren,to accept,verb,agreement,"Ik kan deze situatie niet accepteren","I cannot ... this situation"
6,achter,behind,preposition,position,"De tuin is achter het huis","The garden is ... the house"
7,actie,action,noun,activity,"De politie moet snel in actie komen","The police must take ... quickly"
8,actief,active,adjective,state,"Mijn oma is 80 maar nog steeds actief","My grandma is 80 but still ..."
9,activiteit,activity,noun,action,"Zwemmen is een gezonde activiteit","Swimming is a healthy ..."
10,adres,address,noun,location,"Schrijf je naam en adres op het formulier","Write your name and ... on the form"
11,advies,advice,noun,guidance,"De dokter gaf me medisch advies","The doctor gave me medical ..."
12,afbeelding,image,noun,media,"Een mooie afbeelding in het boek","A beautiful image in the book"
13,afkomst,origin,noun,background,"Wat is je afkomst?","What is your origin?"
14,afwasmachine,dishwasher,noun,kitchen,"Ik zet de borden na de lunch in de afwasmachine","I put the plates in the ... after lunch"
15,agent,agent,noun,profession,"De agent in uniform regelt het verkeer","The ... in uniform directs traffic"
16,al,already,adverb,time,"Het is pas acht uur maar ik ben al moe","It's only eight but I'm ... tired"
17,al,all,adjective,quantity,"Al het eten is op, niets meer over","... the food is gone, nothing left"
18,algemene,general,adjective,category,"Algemene informatie over het onderwerp","General information about the topic"
19,alle,all,adjective,quantity,"Alle kinderen moeten naar school","... children must go to school"
20,alleen,only,adverb,quantity,"Ik heb geen thee, alleen water","I have no tea, ... water"
21,alleen,alone,adjective,state,"Mijn ouders zijn weg, ik ben alleen thuis","My parents are away, I am ... at home"
22,als,if,conjunction,condition,"Als het regent blijf ik binnen","... it rains I stay inside"
23,ander,other,adjective,comparison,"De andere dag kom ik","The ... day I will come"
24,antwoord,answer,noun,response,"Ik ken het antwoord op deze vraag","I know the ... to this question"
25,argument,argument,noun,reasoning,"Hij heeft een sterk argument in het debat","He has a strong ... in the debate"
26,arm,arm,noun,body,"De arm verbindt de hand met de schouder","The ... connects the hand to the shoulder"
27,arm,poor,adjective,wealth,"Hij heeft geen geld en is arm","He has no money and is ..."
28,artikel,article,noun,writing,"Ik lees een artikel","I read an ..."
29,aspect,aspect,noun,feature,"Een belangrijk aspect van dit probleem is de prijs","An important ... of this problem is the price"
30,au,ouch,interjection,pain,"Au, dat doet pijn!","..., that hurts!"
31,auteur,author,noun,writing,"De auteur schreef tien boeken","The ... wrote ten books"
32,automatisch,automatically,adverb,manner,"De deur sluit automatisch na 5 seconden","The door closes ... after 5 seconds"
33,avondeten,dinner,noun,meal,"Het avondeten is om zes uur","Dinner is at six o clock"
34,baan,job,noun,work,"Ik zoek een nieuwe baan","I am looking for a new job"
35,baas,boss,noun,work,"Mijn baas is aardig","My ... is nice"
36,baby,baby,noun,family,"De baby huilt en heeft honger","The ... cries and is hungry"
37,bank,bank,noun,finance,"Ik ga naar de bank om geld te storten","I go to the ... to deposit money"
38,bank,couch,noun,furniture,"Ik zit op de bank","I sit on the ..."
39,basis,base,noun,foundation,"De basis van alles","The ... of everything"
40,bed,bed,noun,furniture,"'s Avonds ga ik slapen in mijn bed","In the evening I sleep in my ..."
41,bedrijf,company,noun,business,"Hij werkt bij een groot bedrijf","He works at a large company"
42,begin,beginning,noun,start,"Het begin van het jaar","The ... of the year"
43,beginnen,to begin,verb,action,"We beginnen om negen uur","We ... at nine o'clock"
44,behalve,except,preposition,exclusion,"Iedereen is er behalve Jan","Everyone is there except Jan"
45,beide,both,adjective,quantity,"Beide kinderen zijn ziek","... children are sick"
46,beroemd,famous,adjective,reputation,"Een beroemde acteur","A famous actor"
47,beroep,profession,noun,work,"Wat is je beroep?","What is your profession?"
48,bespreken,to discuss,verb,communication,"We bespreken het probleem","We ... the problem"
49,bestellen,to order,verb,service,"Ik bestel een pizza","I order a pizza"
50,beter,better,adjective,comparison,"Deze oplossing is beter dan de vorige","This solution is ... than the previous one"
51,bezig,busy,adjective,state,"Ik ben bezig met koken in de keuken","I am ... cooking in the kitchen"
52,bezoeken,to visit,verb,activity,"Ik bezoek mijn oma","I visit my grandmother"
53,beïnvloeden,to influence,verb,impact,"Hij kan me beïnvloeden","He can ... me"
54,bier,beer,noun,drinks,"Hij drinkt een koud bier in de kroeg","He drinks a cold ... in the pub"
55,bij,at,preposition,location,"Ik ben bij mijn ouders thuis","I am ... my parents' house"
56,bijbaantje,side job,noun,work,"Hij heeft een bijbaantje in de winkel","He has a side job at the store"
57,bijna,almost,adverb,approximation,"Het is bijna klaar","It is almost ready"
58,bijten,to bite,verb,action,"De hond kan bijten","The dog can ..."
59,bitter,bitter,adjective,taste,"Deze medicijn heeft een bittere smaak","This medicine has a ... taste"
60,blauw,blue,adjective,color,"De lucht is blauw en de zon schijnt","The sky is ... and the sun shines"
61,bloed,blood,noun,body,"De dokter neemt een monster van je bloed","The doctor takes a sample of your ..."
62,bodem,bottom,noun,position,"De bodem van de zee","The ... of the sea"
63,boek,book,noun,education,"Ik lees een boek","I read a ..."
64,boodschappen,groceries,noun,shopping,"Ik doe boodschappen in de supermarkt","I do groceries at the supermarket"
65,boos,angry,adjective,emotion,"Ik ben boos op hem","I am angry at him"
66,boot,boat,noun,transportation,"We varen met de boot over het water","We sail with the ... on the water"
67,borrelen,to have drinks,verb,social,"We gaan borrelen na het werk","We are having drinks after work"
68,bouwen,to build,verb,construction,"Ze bouwen een nieuw huis","They build a new house"
69,brengen,to bring,verb,movement,"Breng me naar huis","... me home"
70,broer,brother,noun,family,"Mijn broer en zus zijn mijn broers en zussen","My ... and sister are my siblings"
71,brood,bread,noun,food,"'s Ochtends eet ik brood met kaas","In the morning I eat ... with cheese"
72,bruin,brown,adjective,color,"Chocolade en hout zijn bruin van kleur","Chocolate and wood are ... in color"
73,bus,bus,noun,transportation,"De bus stopt bij het station","The ... stops at the station"
74,café,cafe,noun,food,"We drinken koffie in het café","We drink coffee in the ..."
75,categorie,category,noun,classification,"Appels en peren zijn in de categorie fruit","Apples and pears are in the ... fruit"
76,centrum,center,noun,location,"Het centrum is het midden van de stad","The ... is the middle of the city"
77,collega,colleague,noun,work,"Mijn collega werkt samen met mij op kantoor","My ... works together with me at the office"
78,combinatie,combination,noun,mixture,"Kaas en wijn zijn een goede combinatie samen","Cheese and wine are a good ... together"
79,communicatie,communication,noun,interaction,"Goede communicatie is belangrijk tussen mensen","Good ... is important between people"
80,computer,computer,noun,technology,"Ik typ op de computer met een toetsenbord","I type on the ... with a keyboard"
81,conclusie,conclusion,noun,ending,"De conclusie is duidelijk","The ... is clear"
82,consequentie,consequence,noun,result,"Een consequentie van roken is slechte gezondheid","A ... of smoking is bad health"
83,contact,contact,noun,communication,"Ik heb telefonisch contact met mijn vriend","I have phone ... with my friend"
84,crisis,crisis,noun,emergency,"Een financiële crisis is een economisch probleem","A financial ... is an economic problem"
85,cultureel,cultural,adjective,society,"Musea bewaren cultureel erfgoed voor de maatschappij","Museums preserve ... heritage for society"
86,cultuur,culture,noun,society,"De Nederlandse cultuur heeft windmolens en tulpen","The Dutch ... has windmills and tulips"
87,daar,there,adverb,location,"Ik woon hier en jij woont daar","I live here and you live ..."
88,dag,day,noun,time,"Een week heeft zeven dagen","A week has seven ..."
89,dag,bye,interjection,farewell,"Dag, tot morgen!","..., see you tomorrow!"
90,dan,then,adverb,time,"Eerst eten, dan werken","First eat, ... work"
91,danken,to thank,verb,gratitude,"Ik dank je voor je hulp en steun","I ... you for your help and support"
92,dankzij,thanks to,preposition,gratitude,"Dankzij jouw hulp lukte het","Thanks to your help it worked"
93,dansen,to dance,verb,movement,"Ik dans graag op muziek in de disco","I like to ... to music in the disco"
94,dat,that,pronoun,grammar,"Dat is mijn fiets","... is my bicycle"
95,dat,that,conjunction,grammar,"Ik denk dat hij komt","I think ... he is coming"
96,de,the,article,grammar,"De kat zit op de tafel","... cat sits on the table"
97,denken,to think,verb,mental,"Ik denk aan jou","I ... about you"
98,detail,detail,noun,specifics,"Een klein detail is een specifiek onderdeel","A small ... is a specific part"
99,deur,door,noun,building,"Ik open de deur om binnen te gaan","I open the ... to go inside"
100,deze,this,pronoun,grammar,"Deze auto is nieuw","... car is new"
101,dichtbij,nearby,adverb,proximity,"De winkel is dichtbij","The store is nearby"
102,diep,deep,adjective,dimension,"Het water is diep","The water is ..."
103,ding,thing,noun,object,"Wat is dat vreemde ding op de tafel?","What is that strange ... on the table?"
104,direct,directly,adverb,manner,"Kom direct hier zonder te wachten","Come ... here without waiting"
105,direct,direct,adjective,manner,"Een directe vraag is open en eerlijk","A ... question is open and honest"
106,directeur,director,noun,management,"De directeur leidt het bedrijf en neemt beslissingen","The ... leads the company and makes decisions"
107,discussie,discussion,noun,conversation,"Een goede discussie gaat over verschillende meningen","A good ... is about different opinions"
108,dit,this,pronoun,grammar,"Dit boek hier is belangrijk om te lezen","... book here is important to read"
109,dochter,daughter,noun,family,"Mijn dochter en zoon zijn mijn kinderen","My ... and son are my children"
110,doen,to do,verb,action,"Wat moet ik doen?","What should I ...?"
111,doen,matter,verb,importance,"Dat doet er niet toe","That does not matter"
112,dokter,doctor,noun,profession,"Ik ga naar de dokter als ik ziek ben","I go to the ... when I am sick"
113,dom,dumb,adjective,intelligence,"Het is dom om zonder jas in de regen te lopen","It is ... to walk in the rain without a coat"
114,dood,death,noun,life,"De dood van een vriend","The ... of a friend"
115,dood,dead,adjective,state,"De plant is dood","The plant is ..."
116,door,through,preposition,movement,"We lopen door het park naar huis","We walk ... the park home"
117,doordeweeks,on weekdays,adverb,time,"Doordeweeks werk ik","On weekdays I work"
118,dorst,thirst,noun,sensation,"Ik heb dorst","I am thirsty"
119,draaien,to turn,verb,movement,"Draai naar links","Turn left"
120,drie,three,numeral,numbers,"Drie is het getal tussen twee en vier","... is the number between two and four"
121,drinken,to drink,verb,consumption,"Ik drink water en koffie uit een glas","I ... water and coffee from a glass"
122,drinken,drink,noun,beverage,"Een koud drinken op een warme dag","A cold drink on a hot day"
123,dromen,to dream,verb,sleep,"Ik droom 's nachts over vliegen in de lucht","I ... at night about flying in the air"
124,droom,dream,noun,sleep,"Een droom is wat je ziet tijdens je slaap","A ... is what you see during your sleep"
125,druk,busy,adjective,activity,"Ik heb het erg druk","I am very busy"
126,dubbel,double,adjective,quantity,"Een dubbele portie is twee keer zoveel","A ... portion is twice as much"
127,duidelijk,clear,adjective,clarity,"Een duidelijke uitleg","A clear explanation"
128,dun,thin,adjective,dimension,"Een dunne lijn is smal en niet dik","A ... line is narrow and not thick"
129,duur,expensive,adjective,price,"Deze auto is duur","This car is expensive"
130,economie,economy,noun,finance,"De economie is het financiële systeem van een land","The ... is the financial system of a country"
131,een,a,article,grammar,"Ik heb een boek, niet twee of drie","I have ... book, not two or three"
132,eens,just,particle,suggestion,"Kom eens hier kijken","Come ... look here"
133,eenzaam,lonely,adjective,emotion,"Ik voel me eenzaam","I feel lonely"
134,eerst,first,adverb,order,"Eerst de winkel, dan naar huis","... the store, then home"
