category,count
actions,35
antonyms,9
body_parts,20
building,12
color,7
conversation,27
country,1
culture,12
day_time,1
difficulty,1
directions,19
duration,4
education,20
family,19
food,26
geometry,1
grammar,68
health,15
home,9
items,13
items:home,1
language,5
leadership,8
life_experience,14
material,1
media,9
money,13
mood,38
motion,9
music,3
nature,27
numbers,28
people,15
physics,2
places,9
position,14
profession,4
properties,10
qualities,11
quantity,22
relationships,7
results,7
schedule,15
senses,15
society,17
speed,1
states,19
tasks,16
time,1
time_order,24
tools,10
transport,6
weight,1
work,12
